GeneID	cluster#	1hr	3hr	6hr	12hr	24hr
 1415852_at 	6	0	-0.2	-0.7	-2.1	-2
 1428820_at 	6	-0.2	-0.2	-0.5	-2	-1.7
 1436508_at 	6	-0.1	-0.5	-0.8	-1.9	-1.9
 1444735_at 	6	-0.2	-0.6	-0.9	-1.7	-1.8
 1448839_at 	6	-0.3	-0.5	-1.2	-1.8	-1.6
 1436708_x_at 	6	-0.1	-0.1	-1.2	-1.8	-1.9
 1448740_at 	6	0	-0.2	-1.2	-1.6	-1.9
 1443071_at 	6	0.1	-0.3	-1.4	-1.9	-1.6
 1447898_s_at 	6	0.1	-0.3	-1.3	-2	-1.8
 1449044_at 	6	0.1	-0.2	-1.1	-1.9	-1.8
 1460447_at 	6	0	-0.6	-1.3	-1.5	-2.1
 1443841_x_at 	6	-0.6	0	-1.9	-2.1	-2
 1415945_at 	7	0	0	-0.6	-1.5	-2
 1436420_a_at 	7	0	-0.1	-0.6	-1.6	-2
 1416034_at 	7	0	-0.2	-0.8	-1.5	-2
 1449116_a_at 	7	0.1	-0.1	-0.8	-1.6	-2
 1436707_x_at 	7	0.1	-0.1	-0.7	-1.5	-1.8
 1415851_a_at 	7	0.2	-0.1	-0.6	-1.7	-2.2
 1448635_at 	7	-0.1	0.1	-0.5	-1.7	-1.9
 1459875_x_at 	7	-0.3	-0.1	-0.6	-1.6	-2.1
 1415878_at 	7	0	0.1	-0.3	-1.4	-1.7
 1428823_at 	7	0	0	-0.4	-1.2	-1.8
 1429234_s_at 	7	-0.1	-0.1	-0.4	-1.2	-2
 1429434_at 	7	-0.2	0	-0.7	-0.8	-2.2
 1445680_x_at 	7	-0.4	0	-0.3	-1	-2.2
 1448865_at 	7	0	0.3	-0.8	-0.9	-1.9
 1415829_at 	7	0	0.1	-0.5	-2.3	-2.9
 1429297_at 	7	-0.1	-0.2	-0.4	-1.8	-2.5
 1436808_x_at 	7	-0.1	0	-0.6	-1.7	-2.6
 1446542_at 	7	-0.1	-0.2	-0.4	-1.5	-2.8
 1448627_s_at 	7	-0.1	-0.2	-0.6	-2.1	-2.3
 1445522_at 	7	-0.5	-0.7	-0.7	-2	-2.9
 1444531_at 	7	0.6	0.7	0	-0.8	-4.8
 1448604_at 	8	-0.1	-0.7	-1.7	-2.9	-1.5
 1448991_a_at 	8	-0.3	-1	-1.6	-3.4	-1.4
 1429427_s_at 	8	-0.4	-1.7	-1.3	-2.4	-2
 1443673_x_at 	8	0	-1.1	-2	-2.5	-2.7
 1448646_at 	8	-0.1	-0.7	-1.8	-2.9	-2.3
 1459680_at 	8	0	-1.4	-2.5	-2.2	-2.3
 1460672_at 	8	0.1	-1.4	-2.2	-2.7	-1.8
 1435939_s_at 	8	0	-0.4	-2.1	-3.8	-3.1
 1436614_at 	8	-0.1	-1	-1.9	-3.6	-2.6
 1443750_s_at 	8	-0.3	-0.4	-1.5	-3	-3.1
 1436777_at 	8	0.1	-0.7	-0.7	-4.7	-1.9
 1428775_at 	8	0.3	-0.5	-2.5	-2.9	-0.1
 1443969_at 	8	-1.2	-3.1	-1.9	-3.6	-1.6
 1436555_at 	9	0.1	0.5	0.8	1.2	0.3
 1448661_at 	9	0.2	0.5	0.8	1	0.1
 1443907_at 	9	0.1	0.3	0.4	1	-0.2
 1449095_at 	9	-0.2	0.4	1.1	0.8	-0.6
 1428796_at 	9	0.1	0.1	1.6	1.8	0.3
 1447851_x_at 	9	-0.2	0.3	1.7	1.7	0.4
 1444951_at 	9	-0.2	0.1	1.1	1	0.2
 1447272_s_at 	9	-0.2	0.2	1.5	1.3	0.2
 1428838_a_at 	9	-0.2	0.8	1.7	1.4	0.8
 1459981_s_at 	9	0.1	1.4	0.7	1.5	0.5
 1429295_s_at 	9	0.3	1.3	1.3	1.2	-1
 1436387_at 	9	0	0.3	1.2	1.1	-1.8
 1448728_a_at 	9	2.7	1.3	2.2	1.1	-0.8
 1443698_at 	10	-0.1	3	4.1	4.9	5
 1448775_at 	10	0.7	3.9	4.9	5.1	5.2
 1444405_at 	10	0.6	3.9	5.7	6.7	6.6
 1436058_at 	10	1.5	6.9	7.4	7.5	7.4
 1449009_at 	10	-2.6	5.6	7.4	8.2	8.3
